?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0008814>	"A transient embryonic complex that comprises the pharyngeal arches, bulges of tissues of mesoderm and neural crest derivation through which pass nerves and pharyngeal arch arteries. The arches are separated internally by pharyngeal pouches, evaginations of foregut endoderm, and externally by pharyngeal clefts, invaginations of surface ectoderm. The development of the system ends when the stucture it contributes to are forming, which may include (depending on species) the thymus, thyroid, parathyroids, maxilla, mandible, aortic arch, cardiac outflow tract, external and middle ear[GO,modified]."	"NCIT:C34248 FMA:293041 EHDAA2:0000187"
<http://purl.obolibrary.org/obo/PATO_0001417>	"A duration quality of a process inhering in a bearer by virtue of the bearer's duration which has irregular start and/or end times."	
<http://purl.obolibrary.org/obo/GO_0061523>	"A cellular process that results in the breakdown of a cilium."	
<http://purl.obolibrary.org/obo/CHEBI_33567>	"4-(2-Aminoethyl)pyrocatechol [4-(2-aminoethyl)benzene-1,2-diol] and derivatives formed by substitution."	"KEGG:C02012"
<http://purl.obolibrary.org/obo/GO_0046822>	"Any process that modulates the frequency, rate or extent of the directed movement of substances between the nucleus and the cytoplasm."	
<http://purl.obolibrary.org/obo/GO_0070092>	"Any process that modulates the frequency, rate or extent of the regulated release of glucagon."	
<http://purl.obolibrary.org/obo/GO_0030857>	"Any process that stops, prevents, or reduces the frequency, rate or extent of epithelial cell differentiation."	
<http://purl.obolibrary.org/obo/CL_2000042>	"Any fibroblast that is part of a embryo."	
<http://purl.obolibrary.org/obo/PATO_0001257>	"Pink color having high brightness and moderate saturation."	
<http://purl.obolibrary.org/obo/GO_0005938>	"The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins."	"Wikipedia:Cell_cortex"
<http://purl.obolibrary.org/obo/GO_0010876>	"Any process in which a lipid is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/CL_0000035>	"A stem cell that self-renews as well as give rise to a single mature cell type."	"FMA:70569"
<http://purl.obolibrary.org/obo/GO_1903708>	"Any process that activates or increases the frequency, rate or extent of hemopoiesis."	
<http://purl.obolibrary.org/obo/PATO_0000089>		
<http://purl.obolibrary.org/obo/UBERON_0011249>	"Subdivision of the skeletal system which consists of the appendicular skeleton plus associated joints."	"FMA:7484 VSAO:0000306"
<http://purl.obolibrary.org/obo/CHEBI_46723>		
<http://purl.obolibrary.org/obo/GO_0043455>	"Any process that modulates the frequency, rate or extent of secondary metabolism, the chemical reactions and pathways involving compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."	
<http://purl.obolibrary.org/obo/GO_0014860>	"The regulated release of neurotransmitter into the synaptic cleft involved in skeletal muscle contraction. A neurotransmitter is any of a group of substances that are released on excitation from the axon terminal of a presynaptic neuron of the central or peripheral nervous system and travel across the synaptic cleft to either excite or inhibit the target cell. Among the many substances that have the properties of a neurotransmitter are acetylcholine, noradrenaline, adrenaline, dopamine, glycine, gamma aminobutyrate, glutamic acid, substance P, enkephalins, endorphins and serotonin."	
<http://purl.obolibrary.org/obo/PATO_0001405>	"A nucleate quality inhering in a bearer by virtue of the bearer's having no nucleus."	
<http://purl.obolibrary.org/obo/PATO_0000922>		
<http://purl.obolibrary.org/obo/PATO_0001500>	"A shape quality inhering in a bearer by virtue of the bearer's being gradually narrower or thinner toward one end."	
<http://purl.obolibrary.org/obo/PATO_0002463>	"A positional quality inhering in a bearer by virtue of some aspect of the bearer extending to the position of another entity."	
<http://purl.obolibrary.org/obo/PATO_0002227>	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's shape form resembling the shape of a cup."	
<http://purl.obolibrary.org/obo/CL_0000693>	"An interneuron that has spider-like appearance with a small round soma, a large number (7-10) of short, smooth, or slightly beaded primary dendrites that give rise to only a few secondary branches, and a branched axon that establishes a dense axonal mesh with thin shafts."	
<http://purl.obolibrary.org/obo/GO_0003381>	"The change in form that occurs when an epithelial cell progresses from it initial formation to its mature state, contributing to the process of gastrulation."	
<http://purl.obolibrary.org/obo/UBERON_0013514>	"The space that surrounds an organism."	
<http://purl.obolibrary.org/obo/UBERON_0011862>	"The connective tissue bundles in the extracellular matrix of pulmonary tissue that are composed of collagen, and play a role in tissue strength and elasticity."	
<http://purl.obolibrary.org/obo/GO_0030425>	"A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body."	"NIF_Subcellular:sao1211023249 Wikipedia:Dendrite"
<http://purl.obolibrary.org/obo/UBERON_0011865>	"The connective tissue bundles in the extracellular matrix of corneal stroma that are composed of collagen, and play a role in tissue strength and elasticity."	
<http://purl.obolibrary.org/obo/UBERON_0003898>	"A portion of skeletal muscle tissue in the trunk."	"SCTID:244848007"
<http://purl.obolibrary.org/obo/GO_0045934>	"Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."	
<http://purl.obolibrary.org/obo/PATO_0015023>	"An decrease in combustibility."	
<http://purl.obolibrary.org/obo/PATO_0002191>	"A molecular quality that inheres in a molecular entity when it possesses at least one ring that is aromatic, i.e. A conjugated ring of unsaturated bonds, lone pairs, or empty orbitals that exhibit a stabilization stronger than would be expected by the stabilization of conjugation alone."	
<http://purl.obolibrary.org/obo/UBERON_0010221>		"EHDAA2:0004085"
<http://purl.obolibrary.org/obo/UBERON_0006756>	"During the third week of embryological development there appears, immediately behind the ventral ends of the two halves of the mandibular arch, a rounded swelling named the tuberculum impar, which was described by His as undergoing enlargement to form the buccal part of the tongue. More recent researches, however, show that this part of the tongue is mainly, if not entirely, developed from a pair of lateral swellings which rise from the inner surface of the mandibular arch and meet in the middle line. The site of their meeting remains post-embryonically as the median sulcus of the tongue. The tuberculum impar is said to form the central part of the tongue immediately in front of the foramen cecum, but Hammar insists that it is purely a transitory structure and forms no part of the adult tongue[WP, Gray's]."	"FMA:312476 EMAPA:17187 VHOG:0000730 SCTID:308821003 Wikipedia:Tuberculum_impar EHDAA2:0001081"
<http://purl.obolibrary.org/obo/PATO_0001674>	"A concentration quality inhering in a bearer by virtue of the bearer's catalytic activity divided by the volume of the system."	
<http://purl.obolibrary.org/obo/GO_0003241>	"Developmental growth that contributes to the shaping of the heart."	
<http://purl.obolibrary.org/obo/PATO_0001446>	"A wholeness quality inhering in a bearer by virtue of the bearer's including all its components."	
<http://purl.obolibrary.org/obo/UBERON_0009891>	"Mesenchyme that is part of a developing face."	"FMA:302884 EMAPA:35337"
<http://purl.obolibrary.org/obo/GO_0009892>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."	
<http://purl.obolibrary.org/obo/PATO_0002444>	"A composition quality inhering in a bearer by virtue of the bearer's being composed of or possessing inorganic material."	
<http://purl.obolibrary.org/obo/UBERON_0004857>	"A connective tissue that surrounds a skeletal muscle tissue."	"MA:0002868"
<http://purl.obolibrary.org/obo/GO_0010561>	"Any process that decreases the rate, frequency, or extent of the chemical reactions and pathways resulting in the formation of a glycoprotein, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."	
<http://purl.obolibrary.org/obo/GO_1902107>	"Any process that activates or increases the frequency, rate or extent of leukocyte differentiation."	
<http://purl.obolibrary.org/obo/GO_2000496>	"Any process that stops, prevents or reduces the frequency, rate or extent of cell proliferation involved in compound eye morphogenesis."	
<http://purl.obolibrary.org/obo/CHEBI_24870>	"A molecular entity having a net electric charge."	
<http://purl.obolibrary.org/obo/PATO_0001206>	"A shape quality inhering in a bearer by virtue of having sharp straight-edged teeth pointing to the apex."	
<http://purl.obolibrary.org/obo/PATO_0002208>	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of a spoon."	
<http://purl.obolibrary.org/obo/CHEBI_18059>	"'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids."	"KEGG:C01356"
<http://purl.obolibrary.org/obo/GO_0048588>	"The growth of a cell, where growth contributes to the progression of the cell over time from one condition to another."	
<http://purl.obolibrary.org/obo/PATO_0002419>	"OBSOLETE. An affinity inhering in an anatomical structure by virtue of the bearer exhibiting a molecular interaction for eosin dye."	
<http://purl.obolibrary.org/obo/PATO_0001027>		
<http://purl.obolibrary.org/obo/PATO_0000928>		
<http://purl.obolibrary.org/obo/GO_0021537>	"The process whose specific outcome is the progression of the telencephalon over time, from its formation to the mature structure. The telencephalon is the paired anteriolateral division of the prosencephalon plus the lamina terminalis from which the olfactory lobes, cerebral cortex, and subcortical nuclei are derived."	
<http://purl.obolibrary.org/obo/PATO_0001157>		
<http://purl.obolibrary.org/obo/GO_1901861>	"Any process that modulates the frequency, rate or extent of muscle tissue development."	
<http://purl.obolibrary.org/obo/UBERON_0003617>	"An elastic tissue that is part of a trachea [Automatically generated definition]."	"MA:0001861"
<http://purl.obolibrary.org/obo/NCBITaxon_88770>		"GC_ID:1"
<http://purl.obolibrary.org/obo/CL_0000349>	"Any cell that is part of some extraembryonic structure."	
<http://purl.obolibrary.org/obo/UBERON_0003038>	"The thoracic nerves are the spinal nerves emerging from the thoracic vertebrae. [WP,unvetted]."	"NCIT:C12894 FMA:71167 SCTID:278750009 Wikipedia:Thoracic_spinal_cord neuronames:1718 MA:0003082 BIRNLEX:966"
<http://purl.obolibrary.org/obo/CHEBI_35554>	"A drug that affects the rate or intensity of cardiac contraction, blood vessel diameter or blood volume."	
<http://purl.obolibrary.org/obo/UBERON_0019304>		"MA:0003174 EMAPA:35952"
<http://purl.obolibrary.org/obo/GO_0010612>	"Any process that modulates the rate, extent or frequency of the process in which cardiac muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors."	
<http://purl.obolibrary.org/obo/PATO_0000925>		
<http://purl.obolibrary.org/obo/PATO_0015033>	"A decrease in contamination."	
<http://purl.obolibrary.org/obo/GO_0003433>	"The progression of a chondrocyte over time from after its commitment to its mature state where the chondrocyte will contribute to the shaping of an endochondral bone."	
<http://purl.obolibrary.org/obo/GO_0062014>	"Any process that stops, prevents or reduces the frequency, rate or extent of a small molecule metabolic process."	
<http://purl.obolibrary.org/obo/GO_0030099>	"The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte, megakaryocyte, thrombocyte, or erythrocyte lineages."	
<http://purl.obolibrary.org/obo/UBERON_0019207>	"The part of the eye that consists of both the retina and the optic choroid."	"SCTID:110701000"
<http://purl.obolibrary.org/obo/GO_0045603>	"Any process that activates or increases the frequency, rate or extent of endothelial cell differentiation."	
<http://purl.obolibrary.org/obo/PATO_0001158>		
<http://purl.obolibrary.org/obo/PATO_0002095>	"A disposition inhering in a tumour to progress or fail to progress during it's life time."	
<http://purl.obolibrary.org/obo/PATO_0002274>	"Multicolored quality inhering in a bearer by virtue of the bearer's being dappled with spots, patches, or blotches of different colors."	
<http://purl.obolibrary.org/obo/GO_0070278>	"The controlled release of molecules that form the extracellular matrix, including carbohydrates and glycoproteins by a cell."	
<http://purl.obolibrary.org/obo/GO_0060997>	"The process in which the anatomical structures of a dendritic spine are generated and organized. A dendritic spine is a protrusion from a dendrite and a specialized subcellular compartment involved in synaptic transmission."	
<http://purl.obolibrary.org/obo/GO_0032973>	"The directed movement of amino acids from inside of a cell, across the plasma membrane and into the extracellular region."	
<http://purl.obolibrary.org/obo/PATO_0002442>	"A surface feature shape in which the bearer's surface is lacking ridges, pits, rugosity or other surface structures."	
<http://purl.obolibrary.org/obo/PATO_0000638>	"A structural quality inhering in a bearer by virtue of the bearer's consisting of blebbing of the nucleus and DNA fragmentation due to the cell undergoing a specific form of programmed cell death termed apoptosis."	"GO:0006915"
<http://purl.obolibrary.org/obo/PATO_0070018>	"A pyramidal cell morphology that inheres in neurons which have a distinct tuft formation, distal from the soma."	"ilxtr:TuftedPyramidalPhenotype"
<http://purl.obolibrary.org/obo/GO_0086015>	"An action potential that occurs in a sinoatrial node cardiac muscle cell."	
<http://purl.obolibrary.org/obo/PATO_0000926>		
<http://purl.obolibrary.org/obo/CL_0002242>	"A cell containing at least one nucleus."	"FMA:67513"
<http://purl.obolibrary.org/obo/UBERON_0000102>	"The lung vasculature is composed of the tubule structures that carry blood or lymph in the lungs[GO]."	"FMA:73750"
<http://purl.obolibrary.org/obo/PATO_0002032>	"A reflectivity quality inhering in light by virtue of the bearer's scattering occurring at small angle to the incident beam."	
<http://purl.obolibrary.org/obo/UBERON_0007844>	"Skeletal element that is composed of cartilage tissue and may be permanent or transient."	"XAO:0004013 VSAO:0000000 FMA:55107 ZFA:0001501 AAO:0011130 CALOHA:TS-0118"
<http://purl.obolibrary.org/obo/GO_0044782>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole."	
<http://purl.obolibrary.org/obo/UBERON_0004120>	"An anatomical structure that develops (entirely or partially) from the mesoderm."	
<http://purl.obolibrary.org/obo/UBERON_0001835>	"Lip that covers the lower portion of the mouth.[TAO]."	"SCTID:245777007 TAO:0002060 MA:0000921 ZFA:0005225 FMA:59818 Wikipedia:Lower_lip EMAPA:17909 NCIT:C94572"
<http://purl.obolibrary.org/obo/PR_000001018>	"A protein that has a core domain composition consisting of an extracellular N-terminal domain that adopts an immunoglobulin fold, a transmembrane domain, and an intracellular C-terminal domain with a single copy of the Immunoreceptor tyrosine-based activation motif (Pfam:PF02189) (ITAM). It constitutes the invariant subunit of the T cell antigen receptor (TCR). TCR is a surface receptor on T cells responsible for recognizing MHC-restricted antigens and initiating the cellular immune response."	"PIRSF:PIRSF001993"
<http://purl.obolibrary.org/obo/GO_0061548>	"The process whose specific outcome is the progression of a ganglion over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_1902839>	"Any process that stops, prevents or reduces the frequency, rate or extent of nuclear migration along microtubule."	
<http://purl.obolibrary.org/obo/GO_0035050>	"The process whose specific outcome is the progression of the embryonic heart tube over time, from its formation to the mature structure. The heart tube forms as the heart rudiment from the heart field."	
<http://purl.obolibrary.org/obo/GO_0048285>	"The creation of two or more organelles by division of one organelle."	
<http://purl.obolibrary.org/obo/PATO_0001799>	"A shape quality inhering in a bearer by virtue of the bearer's exhibiting disturbance of its smoothness or regularity."	
<http://purl.obolibrary.org/obo/GO_0061842>	"Any process in which the microtubule organizing center is transported to, and/or maintained in, a specific location within the cell."	
<http://purl.obolibrary.org/obo/GO_0042427>	"The chemical reactions and pathways resulting in the formation of serotonin (5-hydroxytryptamine), a monoamine neurotransmitter occurring in the peripheral and central nervous systems, also having hormonal properties."	"Wikipedia:Serotonin"
<http://purl.obolibrary.org/obo/PATO_0001261>	"A color consisting of red hue and low brightness."	
<http://purl.obolibrary.org/obo/GO_0051960>	"Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."	
<http://purl.obolibrary.org/obo/GO_0032965>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals."	
<http://purl.obolibrary.org/obo/UBERON_0010272>	"A group of bones comprised of hyoid body and two pairs of cornua (i.e. greater cornua and lesser cornua), and lies just below the tongue, above the thyroid cartilage."	"MA:0003037 AAO:0000225 http://palaeos.com/vertebrates/bones/gill_arches/images/ReptileHyoids.gif SCTID:410035009 AAO:0000682"
<http://purl.obolibrary.org/obo/GO_0005604>	"A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers."	"Wikipedia:Basement_membrane"
<http://purl.obolibrary.org/obo/GO_1905879>	"Any process that modulates the frequency, rate or extent of oogenesis."	
<http://purl.obolibrary.org/obo/UBERON_0000965>	"A transparent and refractive lens located posterior to the iris. The lens of camera-type eye refracts light to be focused on the retina."	"MIAA:0000141 TAO:0000035 NCIT:C12743 VHOG:0000169 EHDAA:9057 ZFA:0000035 BTO:0000723 MA:0000275 EV:0100343 MAT:0000141 EMAPA:17838 FMA:58241 XAO:0000008 RETIRED_EHDAA2:0000975 Wikipedia:Lens_(anatomy) MESH:D007908 CALOHA:TS-0545 SCTID:181169005 AAO:0010348"
<http://purl.obolibrary.org/obo/UBERON_0001714>	"The groups of nerve cell bodies associated with the twelve cranial nerves."	"MAT:0000200 TAO:0000013 EFO:0000902 VHOG:0000076 MA:0000213 MIAA:0000200 EMAPA:16659 SCTID:244448001 BIRNLEX:2597 BTO:0000106 ZFA:0000013 MA:0000214 Wikipedia:Cranial_nerve_ganglion XAO:0000027 FMA:54502"
<http://purl.obolibrary.org/obo/PATO_0001508>		
<http://purl.obolibrary.org/obo/UBERON_0010740>	"A bone that is part of an appendage girdle complex (i.e. any bone in a limb, fin or girdle)."	"MA:0000688 EMAPA:35494"
<http://purl.obolibrary.org/obo/GO_1903977>	"Any process that activates or increases the frequency, rate or extent of glial cell migration."	
<http://purl.obolibrary.org/obo/UBERON_0001496>	"The ascending aorta is the portion of the aorta in a two-pass circulatory system that lies between the heart and the arch of aorta[GO]. A portion of the aorta commencing at the upper part of the base of the left ventricle, on a level with the lower border of the third costal cartilage behind the left half of the sternum; it passes obliquely upward, forward, and to the right, in the direction of the heart's axis, as high as the upper border of the second right costal cartilage, describing a slight curve in its course, and being situated, about 6 cm behind the posterior surface of the sternum. The total length is about 5 cm in length [Wikipedia]."	"FMA:3736 EMAPA:17014 NCIT:C32150 Wikipedia:Ascending_aorta EHDAA2:0000147 SCTID:181299009 EHDAA:9828 MA:0002570"
<http://purl.obolibrary.org/obo/GO_2000106>	"Any process that modulates the frequency, rate or extent of leukocyte apoptotic process."	
<http://purl.obolibrary.org/obo/GO_0090425>	"The epithelial cell differentiation process in which a relatively unspecialized cell acquires specialized features of an acinar cell, a secretory cell that is grouped together with other cells of the same type to form grape-shaped clusters known as acini."	
<http://purl.obolibrary.org/obo/GO_0046890>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of lipids."	
<http://purl.obolibrary.org/obo/PATO_0002120>	"A quality inhering a bearer by virtue of the bearer's ability to generate pus."	
<http://purl.obolibrary.org/obo/GO_0031981>	"The volume enclosed by the nuclear inner membrane."	
<http://purl.obolibrary.org/obo/GO_0060251>	"Any process that modulates the frequency, rate or extent of glial cell proliferation."	
<http://purl.obolibrary.org/obo/GO_1905126>	"Any process that modulates the frequency, rate or extent of axo-dendritic protein transport."	
<http://purl.obolibrary.org/obo/CL_0000000>	"A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane."	"CALOHA:TS-2035 MESH:D002477 XAO:0003012 VHOG:0001533 GO:0005623 FMA:68646 WBbt:0004017 KUPO:0000002"
<http://purl.obolibrary.org/obo/UBERON_0014404>	"A part of the body present only in females."	"AEO:0000176"
<http://purl.obolibrary.org/obo/UBERON_0011772>	"An anatomical space that is part of a bone of lower jaw."	"AAO:0000273"
<http://purl.obolibrary.org/obo/GO_0003354>	"Any process that decreases the rate, frequency, or extent of cilium movement, the directed, self-propelled movement of a cilium."	
<http://purl.obolibrary.org/obo/PATO_0015027>	"An increase in stability."	
<http://purl.obolibrary.org/obo/GO_1903561>	"Any vesicle that is part of the extracellular region."	
<http://purl.obolibrary.org/obo/PATO_0000307>		
<http://purl.obolibrary.org/obo/GO_1901211>	"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac chamber formation."	
<http://purl.obolibrary.org/obo/PATO_0002352>	"A quality inhering in a bearer by virtue of the bearer's upper parts die back to the rootstock at the end of the growing season."	
<http://purl.obolibrary.org/obo/PATO_0000706>	"A threshold which is relatively high."	
<http://purl.obolibrary.org/obo/PATO_0002081>	"A broken quality inhering in a bearer by virtue of the bearer's being broken into multiple contiguous wholes."	
<http://purl.obolibrary.org/obo/UBERON_0000033>	"The head is the anterior-most division of the body [GO]."	"GAID:61 WBbt:0005739 AEO:0000106 SCTID:302548004 BIRNLEX:1230 MA:0000023 HAO:0000397 XAO:0003024 SPD:0000016 galen:Head Wikipedia:Head EFO:0000964 MIAA:0000294 BILA:0000115 NCIT:C12419 EHDAA2:0003106 MESH:D006257 BTO:0000282 FMA:7154 VHOG:0001644 EMAPA:31858 MAT:0000294 TGMA:0000002 AAO:0010335 TAO:0001114 CALOHA:TS-0436"
<http://purl.obolibrary.org/obo/GO_0060431>	"The morphogenetic process in which the foregut region specified to become the lung forms the initial left and right buds."	
<http://purl.obolibrary.org/obo/PATO_0002223>	"A quality inhering in a bearer by virtue of the bearer's having reacted with oxygen, or been modified by oxidation (the reaction in which the atoms of an element lose electrons and the valence of the element increases)."	
<http://purl.obolibrary.org/obo/GO_0003214>	"The process in which the left cardiac ventricle is generated and organized."	
<http://purl.obolibrary.org/obo/UBERON_0003583>	"A portion of connective tissue that is part of a larynx [Automatically generated definition]."	"EMAPA:35471 MA:0001754 NCIT:C49245"
<http://purl.obolibrary.org/obo/PATO_0002370>	"The number of time that a viviparous organism has given birth."	
<http://purl.obolibrary.org/obo/GO_0021906>	"The process whose specific outcome is the formation of the hindbrain-spinal cord boundary."	
<http://purl.obolibrary.org/obo/GO_0050832>	"Reactions triggered in response to the presence of a fungus that act to protect the cell or organism."	
<http://purl.obolibrary.org/obo/PATO_0000081>		
<http://purl.obolibrary.org/obo/UBERON_0009603>	"Mesenchyme that is part of a developing right lung."	"EHDAA2:0001739 EMAPA:17662"
<http://purl.obolibrary.org/obo/GO_0051224>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of a protein into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/PATO_0001293>	"A scalar EM radiation quality which obtains by the capacity of the bearer to retain radiation."	
<http://purl.obolibrary.org/obo/PATO_0001319>	"A discrimination quality in a bearer by virtue of the bearer's being capable of perceiving differences between two or more stimuli."	
<http://purl.obolibrary.org/obo/PATO_0002122>	"A composition quality inhering in a bearer by virtue of the bearer's being composed of more than one identifiable entities."	
<http://purl.obolibrary.org/obo/UBERON_0002376>	"Any skeletal muscle that is part of the head region."	"MA:0000578 BTO:0000021 ZFA:0001652 EFO:0003524 EHDAA2:0000322 AAO:0000107 FMA:9616 EMAPA:18172 SCTID:244718003"
<http://purl.obolibrary.org/obo/GO_1905383>	"A process in which a protein is transported to, or maintained in, a location within a presynapse."	
<http://purl.obolibrary.org/obo/GO_0007088>	"Any process that modulates the frequency, rate or extent of mitosis."	
<http://purl.obolibrary.org/obo/GO_0007422>	"The process whose specific outcome is the progression of the peripheral nervous system over time, from its formation to the mature structure. The peripheral nervous system is one of the two major divisions of the nervous system. Nerves in the PNS connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands."	
<http://purl.obolibrary.org/obo/UBERON_0007240>	"A tunica adventitia that is part of a artery."	"EV:0100030 EMAPA:36295 FMA:14274 SCTID:113261001"
<http://purl.obolibrary.org/obo/GO_0046668>	"Any process that modulates the frequency, rate or extent of programmed cell death that occurs in the retina."	
<http://purl.obolibrary.org/obo/GO_0017148>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."	
<http://purl.obolibrary.org/obo/UBERON_0003619>	"The innermost layer of the aorta, containing the endothelium and an inner elastic membrane."	"MA:0002904 FMA:74419 BTO:0005553 SCTID:362031007 EMAPA:35137"
<http://purl.obolibrary.org/obo/GO_0045184>	"The directed movement of a protein to a specific location."	
<http://purl.obolibrary.org/obo/PATO_0002076>	"A behavioral quality inhering in a bearer by virtue of the bearer's movement."	
<http://purl.obolibrary.org/obo/UBERON_0000115>	"The epithelial layer of the lung."	"EMAPA:32860 MA:0001783 BTO:0001653"
<http://purl.obolibrary.org/obo/PATO_0002497>	"An orientation quality inhering in a bearer by virtue of the bearer having a position that is directed laterally."	
<http://purl.obolibrary.org/obo/UBERON_0000125>	"A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO)."	"NCIT:C13197 FMA:83686 AEO:0000136 NLX:28443 Wikipedia:Nucleus_(neuroanatomy)"
<http://purl.obolibrary.org/obo/PATO_0001523>	"A physical quality which is equal to the quotient of the speed of a sound wave divided by its wavelength."	
<http://purl.obolibrary.org/obo/PATO_0001947>	"A color pattern inhering in a bearer by virtue of bearer's being covered with reticulated lines of a different hue or degree of saturation."	
<http://purl.obolibrary.org/obo/UBERON_0000358>	"The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm[GO]."	"EMAPA:36035 EFO:0000295 MESH:D001755 Wikipedia:Blastocyst FMA:83041 CALOHA:TS-0076 NCIT:C13739 GAID:1153 BTO:0001099 EV:0100394 SCTID:308837009"
<http://purl.obolibrary.org/obo/GO_0070664>	"Any process that stops, prevents, or reduces the frequency, rate or extent of leukocyte proliferation."	
<http://purl.obolibrary.org/obo/PATO_0001151>		
<http://purl.obolibrary.org/obo/CHEBI_63551>	"A carboxylic acid anion resulting from the deprotonation of the carboxy group of a carbohydrate acid derivative."	
<http://purl.obolibrary.org/obo/PATO_0000086>		
<http://purl.obolibrary.org/obo/GO_1902019>	"Any process that modulates the frequency, rate or extent of cilium-dependent cell motility."	
<http://purl.obolibrary.org/obo/UBERON_0012172>	"A primordium that has the potential to develop into a stomach."	"NCIT:C34305 EFO:0002580"
<http://purl.obolibrary.org/obo/PATO_0015018>	"A physical quality inhering in an entity by virtue of the bearer's solid or liquid constituents being suspended in a gas."	
<http://purl.obolibrary.org/obo/PATO_0001851>	"A structure quality inhering in a bearer by virtue of the bearer's exhibiting transient abnormal enlargement, not due to cell proliferation."	
<http://purl.obolibrary.org/obo/PR_Q62351>	"A transferrin receptor protein 1 that is encoded in the genome of mouse."	"UniProtKB:Q62351"
<http://purl.obolibrary.org/obo/GO_1904375>	"Any process that modulates the frequency, rate or extent of protein localization to cell periphery."	
<http://purl.obolibrary.org/obo/UBERON_0013127>	"The part of the venous system that drains the lungs[Kardong]."	"Wikipedia:Pulmonary_venous_system"
<http://purl.obolibrary.org/obo/GO_0043143>	"Any process in which proteins and protein complexes involved in translation are transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/PATO_0045024>	"A force which is relatively normal or average."	
<http://purl.obolibrary.org/obo/PATO_0000640>	"A structural quality inhering in a bearer by virtue of the bearer's exhibiting an alteration in size, shape or organization of its constituent cells."	
<http://purl.obolibrary.org/obo/CL_0002076>	"An epithelial cell derived from endoderm."	"FMA:69075"
<http://purl.obolibrary.org/obo/UBERON_0008895>	"Subdivision of endoskeleton derived from pharyngeal arches."	"AAO:0010157 VSAO:0000149 ZFA:0001216 XAO:0003176 VHOG:0000315 Wikipedia:Facial_skeleton TAO:0001216"
<http://purl.obolibrary.org/obo/UBERON_0002424>	"An epithelium that is part of the mouth and lines the oral cavity, typically stratified squamous, and may be para-, ortho- or non- keratinized. Primary barrier between oral environment and deeper tissues."	"ZFA:0000816 AAO:0010357 EMAPA:16839 TAO:0000816 CALOHA:TS-0715 NCIT:C49595 EHDAA:2187 FMA:265152 XAO:0003201 MA:0000344 EMAPA:26942 VHOG:0000187 BTO:0001775 EHDAA2:0001325"
<http://purl.obolibrary.org/obo/CHEBI_84729>	"Any member of the class of  indoles carrying at least one hydroxy group."	
